ARTS_AND_ENTERTAINMENT:ANIME_MANGA             ,,                    ,,,,,,,,
ARTS_AND_ENTERTAINMENT:ARTS                    ,IAB1,                        ,,,,,, ,,
ARTS_AND_ENTERTAINMENT:ASTROLOGY              ,IAB15-1,,,,,,,,,
ARTS_AND_ENTERTAINMENT:CELEBRITIES             ,IAB1-2,,,,,,,,,
ARTS_AND_ENTERTAINMENT:DINING_AND_NIGHTLIFE    ,IAB8-9, ,,,,,,,,
ARTS_AND_ENTERTAINMENT:GENERAL                 ,IAB1,,,,,,,,   ,
ARTS_AND_ENTERTAINMENT:HUMOR                   ,IAB1-4, ,,,,,,,,
ARTS_AND_ENTERTAINMENT:LITERATURE              ,IAB1-6, ,,,,,,,,    
ARTS_AND_ENTERTAINMENT:MOVIES                  ,IAB1-5, ,,,,,,,,
ARTS_AND_ENTERTAINMENT:MUSIC                   ,IAB1-6, ,,,,,,,,
ARTS_AND_ENTERTAINMENT:TELEVISION              ,IAB1-6,,,,,,,,,
ARTS_AND_ENTERTAINMENT:WEBCASTS                ,,,,,,,,,,
AUDIENCE:CULTURE                               ,,,,,,,,,,
AUDIENCE:LIFESTYLES                            ,IAB18,,,,,,,,,
AUDIENCE:PEOPLE                                ,,,,,,,,,,
AUTOMOTIVE:AUTO_ENTHUSIASTS                    ,IAB2,,,,,,,,,
AUTOMOTIVE:CAR_COMPARISON                      ,IAB22-3,,,,,,,,,
AUTOMOTIVE:CUSTOMIZATION_AND_REPAIR            ,IAB2-2,,,,,,,,,
AUTOMOTIVE:GENERAL                             ,IAB2,,,,,,,,,
AUTOMOTIVE:MORE_THAN_CARS                      ,,,,,,,,,,
AUTOMOTIVE:MOTORSPORTS_AND_RACING              ,IAB17-1,,,,,,,,,
BUSINESS:B2B                                  ,IAB3,,,,,,,,,
BUSINESS:CAREERS_AND_JOBS                      ,IAB3,,,,,,,,,
BUSINESS:FINANCE                               ,IAB13-3,,,,,,,,,
BUSINESS:GENERAL                               ,IAB3,,,,,,,,,
BUSINESS:LEGAL                                 ,IAB3,,,,,,,,,
BUSINESS:MARKETING                             ,IAB3,,,,,,,,,
BUSINESS:NEWS                                 ,IAB3,,,,,,,,,
BUSINESS:SMALL_BUSINESS ,,,,,   ,,,,,
EDUCATION_AND_REFERENCE:COLLEGE,IAB5-5,,,,,,,,,
EDUCATION_AND_REFERENCE:K-12 ,IAB5-1,,,  ,    ,,,,,
EDUCATION_AND_REFERENCE:REFERENCE ,,,,,,,,,,
EDUCATION_AND_REFERENCE:SCIENCE ,IAB15,,,,,,,,,
GAMES:CASUAL_GAMES ,IAB9,,,,,,,,,
GAMES:PC_CONSOLE_GAMES ,IAB9-30,,,,,,,,,
GOVERNMENT:GENERAL ,,,,,,,,,,
HEALTH:CHILDREN ,IAB7,,,,,,,,,
HEALTH:DRUGS ,IAB7,,,,,,,,,
HEALTH:FAMILY ,IAB7,,,,,,,,,
HEALTH:GENERAL,IAB7,,,,,,,,,
HEALTH:MEN,IAB7-31,,,,,,,,,
HEALTH:PERSONAL_CARE,IAB7,,,,,,,,,
HEALTH:PROFESSIONALS,IAB7,,,,,,,,,
HEALTH:WOMEN,IAB7-45,,,,,,,,,
HOME_AND_FAMILY:COOKING ,,,,,,,,,,
