nodeID,parentID,fullPath,flag
3,,In-Market, y 
17,,In-Market > Autos, y 
134,,In-Market > Autos > Makes & Models, y 
205,,In-Market > Autos > Makes & Models > Acura, y 
2298,,In-Market > Autos > Makes & Models > Acura > CL, y 
2605,,In-Market > Autos > Makes & Models > Acura > EL, y 
372166,,In-Market > Autos > Makes & Models > Acura > ILX, y 
372167,,In-Market > Autos > Makes & Models > Acura > ILX Hybrid, y 
2163,,In-Market > Autos > Makes & Models > Acura > Integra, y 
2300,,In-Market > Autos > Makes & Models > Acura > Legend, y 
349,,In-Market > Autos > Makes & Models > Acura > MDX, y 
2303,,In-Market > Autos > Makes & Models > Acura > NSX, y 
348,,In-Market > Autos > Makes & Models > Acura > RDX, y 
347,,In-Market > Autos > Makes & Models > Acura > RL, y 
372168,,In-Market > Autos > Makes & Models > Acura > RLX, y 
2305,,In-Market > Autos > Makes & Models > Acura > RSX, y 
126852,,In-Market > Autos > Makes & Models > Acura > SLX, y 
346,,In-Market > Autos > Makes & Models > Acura > TL, y 
372169,,In-Market > Autos > Makes & Models > Acura > TLX, y 
345,,In-Market > Autos > Makes & Models > Acura > TSX, y 
2606,,In-Market > Autos > Makes & Models > Acura > Vigor, y 
103549,,In-Market > Autos > Makes & Models > Acura > ZDX, y 
123873,,In-Market > Autos > Makes & Models > Aixam, y 
2284,,In-Market > Autos > Makes & Models > Alfa Romeo, y 
2614,,In-Market > Autos > Makes & Models > Alfa Romeo > 145, y 
133553,,In-Market > Autos > Makes & Models > Alfa Romeo > 146, y 
2607,,In-Market > Autos > Makes & Models > Alfa Romeo > 147, y 
133554,,In-Market > Autos > Makes & Models > Alfa Romeo > 149, y 
2616,,In-Market > Autos > Makes & Models > Alfa Romeo > 155, y 
2615,,In-Market > Autos > Makes & Models > Alfa Romeo > 156, y 
2609,,In-Market > Autos > Makes & Models > Alfa Romeo > 159, y 
2311,,In-Market > Autos > Makes & Models > Alfa Romeo > 164, y 
2617,,In-Market > Autos > Makes & Models > Alfa Romeo > 166, y 
372170,,In-Market > Autos > Makes & Models > Alfa Romeo > 4C, y 
375406,,In-Market > Autos > Makes & Models > Alfa Romeo > 8C Competizione, y 
134621,,In-Market > Autos > Makes & Models > Alfa Romeo > Brera, y 
2608,,In-Market > Autos > Makes & Models > Alfa Romeo > Giulietta, y 
2612,,In-Market > Autos > Makes & Models > Alfa Romeo > GT, y 
2618,,In-Market > Autos > Makes & Models > Alfa Romeo > GTV, y 
2613,,In-Market > Autos > Makes & Models > Alfa Romeo > MiTo, y 
2315,,In-Market > Autos > Makes & Models > Alfa Romeo > Spider, y 
372193,,In-Market > Autos > Makes & Models > Alpina, y 
372194,,In-Market > Autos > Makes & Models > Alpina > B6, y 
9288,,In-Market > Autos > Makes & Models > Aston Martin, y 
135363,,In-Market > Autos > Makes & Models > Aston Martin > Cygnet, y 
2340,,In-Market > Autos > Makes & Models > Aston Martin > DB7, y 
11520,,In-Market > Autos > Makes & Models > Aston Martin > DB9, y 
11522,,In-Market > Autos > Makes & Models > Aston Martin > DBS, y 
11521,,In-Market > Autos > Makes & Models > Aston Martin > Rapide, y 
2335,,In-Market > Autos > Makes & Models > Aston Martin > Vanquish, y 
11519,,In-Market > Autos > Makes & Models > Aston Martin > Vantage, y 
162610,,In-Market > Autos > Makes & Models > Aston Martin > Virage, y 
208,,In-Market > Autos > Makes & Models > Audi, y 
2345,,In-Market > Autos > Makes & Models > Audi > 100, y 
2346,,In-Market > Autos > Makes & Models > Audi > 200, y 
2343,,In-Market > Autos > Makes & Models > Audi > 80, y 
2344,,In-Market > Autos > Makes & Models > Audi > 90, y 
123826,,In-Market > Autos > Makes & Models > Audi > A1, y 
124067,,In-Market > Autos > Makes & Models > Audi > A2, y 
359,,In-Market > Autos > Makes & Models > Audi > A3, y 
355,,In-Market > Autos > Makes & Models > Audi > A4, y 
360,,In-Market > Autos > Makes & Models > Audi > A5, y 
365,,In-Market > Autos > Makes & Models > Audi > A6, y 
103557,,In-Market > Autos > Makes & Models > Audi > A7, y 
366,,In-Market > Autos > Makes & Models > Audi > A8, y 
3172,,In-Market > Autos > Makes & Models > Audi > Allroad Quattro, y 
134622,,In-Market > Autos > Makes & Models > Audi > Cabriolet, y 
135364,,In-Market > Autos > Makes & Models > Audi > Q3, y 
7454,,In-Market > Autos > Makes & Models > Audi > Q5, y 
372171,,In-Market > Autos > Makes & Models > Audi > Q5 Hybrid, y 
371,,In-Market > Autos > Makes & Models > Audi > Q7, y 
361,,In-Market > Autos > Makes & Models > Audi > R8, y 
372186,,In-Market > Autos > Makes & Models > Audi > RS3, y 
6959,,In-Market > Autos > Makes & Models > Audi > RS4, y 
103559,,In-Market > Autos > Makes & Models > Audi > RS5, y 
73460,,In-Market > Autos > Makes & Models > Audi > RS6, y 
372172,,In-Market > Autos > Makes & Models > Audi > RS7, y 
372189,,In-Market > Autos > Makes & Models > Audi > S3, y 
357,,In-Market > Autos > Makes & Models > Audi > S4, y 
362,,In-Market > Autos > Makes & Models > Audi > S5, y 
369,,In-Market > Autos > Makes & Models > Audi > S6, y 
372190,,In-Market > Autos > Makes & Models > Audi > S7, y 
73415,,In-Market > Autos > Makes & Models > Audi > S8, y 
372191,,In-Market > Autos > Makes & Models > Audi > SQ5, y 
358,,In-Market > Autos > Makes & Models > Audi > TT, y 
375407,,In-Market > Autos > Makes & Models > Audi > TT RS, y 
24131,,In-Market > Autos > Makes & Models > Audi > TTS, y 
11018,,In-Market > Autos > Makes & Models > Bentley, y 
6975,,In-Market > Autos > Makes & Models > Bentley > Arnage, y 
11530,,In-Market > Autos > Makes & Models > Bentley > Azure, y 
11526,,In-Market > Autos > Makes & Models > Bentley > Brooklands, y 
24132,,In-Market > Autos > Makes & Models > Bentley > Continental, y 
11527,,In-Market > Autos > Makes & Models > Bentley > Continental Flying Spur, y 
11525,,In-Market > Autos > Makes & Models > Bentley > Continental GT, y 
11529,,In-Market > Autos > Makes & Models > Bentley > Continental GTC, y 
2384,,In-Market > Autos > Makes & Models > Bentley > Continental R/S/T, y 
24133,,In-Market > Autos > Makes & Models > Bentley > Continental Supersports, y 
375408,,In-Market > Autos > Makes & Models > Bentley > Flying Spur, y 
14573,,In-Market > Autos > Makes & Models > Bentley > Mulsanne, y 
210,,In-Market > Autos > Makes & Models > BMW, y 
2240,,In-Market > Autos > Makes & Models > BMW > 1-Series, y 
395,,In-Market > Autos > Makes & Models > BMW > 1-Series > 128, y 
398,,In-Market > Autos > Makes & Models > BMW > 1-Series > 135, y 
435,,In-Market > Autos > Makes & Models > BMW > 1-Series > M Coupe, y 
372196,,In-Market > Autos > Makes & Models > BMW > 2-Series, y 
372197,,In-Market > Autos > Makes & Models > BMW > 2-Series > 228, y 
372207,,In-Market > Autos > Makes & Models > BMW > 2-Series > M235, y 
2150,,In-Market > Autos > Makes & Models > BMW > 3-Series, y 
135365,,In-Market > Autos > Makes & Models > BMW > 3-Series > 318, y 
135366,,In-Market > Autos > Makes & Models > BMW > 3-Series > 323, y 
3631,,In-Market > Autos > Makes & Models > BMW > 3-Series > 325, y 
405,,In-Market > Autos > Makes & Models > BMW > 3-Series > 328, y 
