1801,3-D Graphics,18,IAB19-1
3301,Accessories,33,IAB18-6
3001,Accounting,30,
915,Adoption,9,IAB6-1
1,Adult,,IAB5-2
40016,Adult,,IAB5-2
2313,Adult Education,23,IAB5-2
100,Adult Products,1,
2819,Adventure Travel,28,IAB20-1
414,Advertising,4,IAB3-1
2820,Africa,28,IAB20-2
415,Agriculture,4,IAB3-2
2804,Air Travel,28,IAB20-3
41501,Airlines,40015,
1420,Alternative Medicine,14,IAB7-5
3401,Alternative Religions,34,IAB23-1
1112,American Cuisine,11,IAB8-1
2407,Anatomy,24,
40701,Animals,40007,IAB16-5
1501,Animals and Nature,15,
1802,Animation,18,IAB19-2
1803,Antivirus Software,18,IAB19-3
2201,Apartments,22,IAB21-1
1701,Appliances,17,IAB10-1
2405,Applied Science,24,
1601,Aquariums,16,IAB16-1
3201,Archaeology,32,
2202,Architects,22,IAB21-2
3202,Art History,32,IAB5-3
1520,Art/Digital Art,15,
1502,Arts & Crafts,15,IAB9-2
2,Arts & Entertainment,,
40502,"Arts, Graphics",40005,
2821,Asia,28,
2411,Astrology,24,
3402,Atheism/Agnosticism,34,
603,Auctions,6,
2822,Australia & New Zealand,28,
304,Auto Parts,3,
2516,Auto Racing,25,
305,Auto Repair,3,
40301,Automobile Manufacturers,40003,
3,Automotive,,IAB2
40003,Automotive,,IAB2
313,Automotive News,3,
40302,Automotive News and Classifieds,40003,
916,Babies & Toddlers,9,IAB6-2
3002,Banking,30,
40402,Banking,40004,
40004,"Banking, Finance, Insurance",,
40098,Banned,,
1113,Barbecues & Grilling,11,
2501,Baseball,25,
3302,Beauty,33,
2823,Bed & Breakfasts,28,
3011,Beginning Investing,30,
2508,Bicycling,25,
2401,Biology,24,
416,Biotech/Biomedical,4,
1602,Birds,16,IAB16-2
1902,Bittorrents,19,
1903,Blogging Tools,19,
1001,Blunt Weapons,10,
1521,Board Games/Puzzles,15,
3303,Body Art,33,IAB18-2
2529,Bodybuilding,25,IAB17-4
40507,Books,40005,IAB1-1
204,Books & Literature,2,IAB1-1
2001,Books/Comics,20,IAB1-1
2412,Botany,24,IAB15-9
2504,Bowling,25,
2505,Boxing,25,IAB17-5
1901,Browser Plugins,19,
3403,Buddhism,34,IAB23-3
2824,Budget Travel,28,IAB20-6
4,Business,,IAB3
2002,Business,20,IAB3
2314,Business School,23,
417,Business Software,4,IAB3-4
2825,Business Travel,28,IAB20-7
303,Buying/Selling Cars,3,IAB2-3
1804,C/C++,18,IAB19-4
1114,Cajun/Creole,11,IAB8-3
703,Cameras & Camcorders,7,IAB19-5
2826,Camping,28,IAB20-9
2827,Canada,28,IAB20-10
1421,Cancer,14,IAB7-11
2607,Cannabis & Marijuana,26,
2530,Canoeing/Kayaking,25,IAB17-6
307,Car Enthusiasts,3,
1522,Card Games,15,IAB9-7
501,Career Advice,5,IAB4-11
502,Career Planning,5,IAB4-1
5,Careers,,IAB4
2828,Caribbean,28,IAB20-11
1201,Casinos,12,
1523,Casual Games,15,
3404,Catholicism,34,
1603,Cats,16,IAB16-3
