3 /Arts & Entertainment,IAB1,
5 /Computers & Electronics,,
7 /Finance,"IAB4-3  , IAB13","Financial Aid , Personal Finance"
8 /Games,"IAB9-5 , IAB9-7, IAB9-8 , IAB9-25 , IAB9-30","Board Games/Puzzles  ,Card Games  ,Chess, Roleplaying Games,  Video & Computer Games"
11 /Home & Garden,IAB10,home & garden
12 /Business & Industrial,IAB3,business
13 /Internet & Telecom,"IAB6-4 , IAB19-18 , IAB26-3 ,IAB19-35","Family Internet , Internet Technology ,Spyware/Malware , web search"
14 /People & Society,IAB14,society
16 /News,IAB12,news
18 /Shopping,IAB22,shopping
19 /Law & Government,IAB11,law & Government
20 /Sports,IAB17,sports
22 /Books & Literature,IAB1-1,Books & Literature
23 /Arts & Entertainment/Performing Arts,IAB1-3,fine art
24 /Arts & Entertainment/Visual Art & Design,IAB19-34,web design
25 /Business & Industrial/Advertising & Marketing,"IAB3-1 ,IAB3-11","Advertising,marketing"
28 /Business & Industrial/Business Services/Office Services,IAB3,business
29 /Real Estate,IAB21,Real Estate
30 /Computers & Electronics/Computer Hardware,"IAB19-36 ,IAB19-9 ,IAB19-28 ,IAB19-27","windows, computer peripheral,portable,PC support"
31 /Computers & Electronics/Programming,"IAB19-31 , IAB19-32 , IAB19-19 , IAB19-4","unix,visual basic,java,C/C++"
32 /Computers & Electronics/Software,IAB19-3,Antivirus software
33 /Arts & Entertainment/Offbeat,IAB1-6,Music
34 /Arts & Entertainment/Movies,IAB1-5,Movies
35 /Arts & Entertainment/Music & Audio,IAB1-6,Music
36 /Arts & Entertainment/TV & Video,IAB1-7,Television
37 /Finance/Banking,IAB13,Personal Finance
38 /Finance/Insurance,IAB13-6,Insurance
39 /Games/Card Games,IAB9-7,Card Games
41 /Games/Computer & Video Games,IAB9-30,Video & Computer Games
42 /Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz,IAB1-6,Music
43 /Online Communities/Online Goodies,IAB23,Religion & Spirituality
44 /Beauty & Fitness,"IAB18-1, IAB7","beauty, Health & fitness"
45 /Health,IAB7,health &fitness
46 /Business & Industrial/Agriculture & Forestry,"IAB3 , IAB3-2 , IAB3-6","business, Agriculture,forestry"
47 /Autos & Vehicles,"IAB2 , IAB2-1,IAB2-2,IAB2-3,IAB2-4,IAB2-10,IAB2-15,IAB2-16,IAB2-17,IAB2-21,IAB2-22",
48 /Business & Industrial/Construction & Maintenance,"IAB3-5 ,IAB3","construction,business"
49 /Business & Industrial/Manufacturing,IAB3,business
50 /Business & Industrial/Transportation & Logistics,"IAB3-10 ,IAB3","logistic,business"
53 /Internet & Telecom/Web Services/Web Hosting & Domain Registration,"IAB6-4 , IAB19-18  ,IAB19-35","Family Internet , Internet Technology ,web search"
54 /People & Society/Social Issues & Advocacy,IAB14,society
55 /Online Communities/Dating & Personals,"IAB23 ,IAB14-1","religion & spirituality , dating"
56 /People & Society/Ethnic & Identity Groups,"IAB23 ,IAB14",religion & spirituality
57 /People & Society/Social Issues & Advocacy/Charity & Philanthropy,"IAB23 ,IAB14","religion & spirituality ,society"
58 /People & Society/Family & Relationships/Family/Parenting,"IAB6 ,IAB14","Family & parenting , society"
59 /People & Society/Religion & Belief,"IAB23 ,IAB14","religion & spirituality , society"
60 /Jobs & Education/Jobs,"IAB4 ,IAB4-4 ,IAB4-5,IAB5","career,job fair,job search,education"
61 /Shopping/Classifieds,IAB22,shopping
63 /News/Weather,"IAB12 ,IAB15-10","news,weather"
64 /Shopping/Antiques & Collectibles,IAB22,shopping
65 /Hobbies & Leisure,"IAB9 , IAB10","Hobbies & Interest , Entertaining"
66 /Pets & Animals,IAB16,pets
67 /Travel,IAB20,travel
68 /Shopping/Apparel,IAB22,shopping
69 /Shopping/Consumer Resources,IAB22,shopping
70 /Shopping/Gifts & Special Event Items,IAB22,shopping
71 /Food & Drink,IAB8,Food & Drink
73 /Shopping/Mass Merchants & Department Stores,IAB22,shopping
